Name,Taxa,Voucher,Cicl_biol,Num_fls_pl,Lmax_flor,Lant_cerr,SimetriaAndroceo,Posic_stilo,Herkogss,Lstig,Pol
C. pulchellum,PUL,CENT22,0,0,1,0,1,1,1,0,0
C. centaurioides,CENTAURIOIDES,CENT44,0,0,1,0,1,1,1,0,1
C. capense,CAPEN,CENT53,0,1,1,0,1,1,1,0,1
C. mairei,MAIR,CENT75,0,0,1,0,1,1,1,0,1
C. discolor,DISC,CENT25,0,0,0,1,0,0,1,1,1
C. maritimum,MAR,CENT29,0,0,0,0,0,0,0,1,0
C. malzacianum,MALZ,CENT72,0,0,0,1,1,1,1,1,1
C. tenuifolium,TENU,CENT17,0,1,1,0,1,1,1,0,0
C. serpentinicola,SERP,CENT74,0,0,0,1,1,1,0,0,1
C. q. linarifolium,LIN,CENT32,1,1,0,1,1,1,0,0,0
C. chloodes,CHLO,CENT26,1,0,1,0,1,1,1,0,1
C. somedanum,SOM,CENT59,1,0,0,0,1,1,1,0,1
C. scilloides,SCIL,CENT37,1,0,0,1,1,1,1,0,0
C. littorale,LITT,CENT41,0,0,1,0,1,1,1,0,1
C. m. boissieri,BOISS,CENT5,0,1,0,1,1,1,0,1,0
C. q. barrelieri,BARR,CENT14,0,1,0,1,1,1,0,0,0
C. q. parviflorum,PARV(=FAVARG),CENT33,0,0,1,0,1,1,1,0,0
C. q. quadrifolium,"TRIP(=QUAD, =GIPS)",CENT34,0,1,1,1,1,1,1,0,0
C. suffruticosum,SUFF,CENT16,0,1,1,0,0,0,0,1,0
C. g. grandiflorum,GRAN,CENT6,0,1,0,1,1,1,0,1,0
C. g. majus,MAJ,CENT9,0,1,0,1,1,1,0,1,0
C. e. turcicum,TURC,CENT28,0,1,1,0,1,1,1,0,1
C. rumelicum,RUM ,CENT36,0,1,1,0,1,1,1,0,0
C. uliginosum,ULIG,CENT46,0,0,1,0,1,1,1,0,1
C. e. erythraea,ERI,CENT3,0,1,1,0,1,1,1,0,1
C. e. rhodense,RHO,CENT23,0,1,1,1,1,1,1,0,1
